antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({480, 946})","frozenset({1096, 530})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({664, 697, 1036})","frozenset({364, 1286})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({364, 1036, 664})","frozenset({697, 1286})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({664, 697, 1286})","frozenset({364, 1036})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({697, 364, 1286})","frozenset({664, 1036})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({697, 1036, 1286})","frozenset({664, 364})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({364, 1286})","frozenset({664, 1036})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({364, 1036})","frozenset({664, 1286})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({664, 1286})","frozenset({364, 1036})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({664, 1036})","frozenset({364, 1286})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({697, 1286})","frozenset({364, 1036})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({364, 1036})","frozenset({697, 1286})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({697, 1286})","frozenset({664, 364})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({664, 364})","frozenset({697, 1286})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({697, 1286})","frozenset({664, 1036})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({664, 1036})","frozenset({697, 1286})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({1161, 491})","frozenset({48, 1134})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({48, 1134})","frozenset({1161, 491})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({848, 161})","frozenset({232, 145})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({232, 145})","frozenset({848, 161})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
